Team,YEAR,AVG,G,AB,R,H,DOUBLES,TRIPLES,HR,RBI,TB,SLGperc,BB,HBP,SO,GDP,Obperc,SF,SH,SBB,ATT,SBB-ATTperc,ERA,W,CG,SHO,CBO,SV,IP,Hallowed,Rallowed,ER,BBAllowed,SOfor,DOUBLESAllowed,TRIPLESAllowed,HRAllowed,Abagainst,AVGagainst,WP,HBPpitching,BK,SFA,SHA,C,PO,A,E,FLDperc,DPs,SBA,CSB,SBAperc,PB,CI
CSM,2004,0.28,53,1592,281,446,90,6,37,248,659,0.414,101,50,353,23,0.339,19,10,31,45,0.689,11.35,9,15,1,0,2,368.2,690,580,465,194,225,154,25,75,1717,0.402,57,69,5,27,31,1772,1106,552,114,0.936,45,80,23,0.777,23,2
CSUP,2004,0.372,55,1840,524,684,126,23,61,470,1039,0.565,201,49,280,28,0.439,36,29,110,129,0.853,3.9,43,20,11,3,5,427.1,427,237,185,143,426,87,9,29,1671,0.256,53,43,5,12,19,1889,1282,514,93,0.951,42,36,9,0.8,14,0
FHSU,2004,0.331,48,1464,388,484,105,10,68,342,813,0.555,170,37,240,21,0.41,15,14,80,103,0.777,6.81,32,8,2,2,7,356.2,489,319,270,117,243,100,11,44,1520,0.322,33,44,4,15,16,1602,1067,464,71,0.956,30,46,12,0.793,11,1
CMU,2004,0.374,63,2230,659,835,190,25,101,596,1378,0.618,236,63,362,41,0.443,28,29,85,101,0.842,5.12,44,12,1,0,6,504.2,574,366,287,185,441,90,12,62,2018,0.284,38,58,11,15,21,2191,1514,599,78,0.964,52,46,17,0.73,19,1
MSUD,2004,0.339,50,1565,352,530,103,12,47,311,798,0.51,128,39,242,30,0.398,21,31,47,65,0.723,7.22,24,12,3,1,3,376.1,529,349,302,118,290,100,10,48,1586,0.334,20,45,7,15,30,1664,1129,472,63,0.962,31,45,27,0.625,20,0
UNK,2004,0.288,55,1641,294,473,96,12,39,268,710,0.433,132,53,339,18,0.358,12,27,21,25,0.84,7.22,19,13,1,0,2,392.2,546,398,315,173,257,89,10,71,1669,0.327,27,38,13,16,31,1750,1178,483,89,0.949,34,69,15,0.821,27,0
NMHU,2004,0.323,56,1713,421,554,119,19,38,375,825,0.482,203,90,293,10,0.418,22,26,110,136,0.809,5.46,30,12,1,0,8,421.2,562,342,256,124,286,93,14,59,1742,0.323,36,28,9,23,30,1951,1265,586,100,0.949,50,49,20,0.71,15,0
Regis,2004,0.373,50,1782,471,664,134,29,67,428,1057,0.593,171,38,285,32,0.434,21,28,38,46,0.826,5.37,32,12,2,0,6,393.2,486,299,235,146,341,87,9,40,1584,0.307,54,40,16,13,22,1780,1181,518,81,0.954,52,59,21,0.738,19,2
CSM,2005,0.286,54,1662,285,476,105,13,25,252,682,0.41,125,54,285,30,0.352,18,10,40,53,0.755,9.2,12,16,1,0,2,401,730,521,410,171,201,149,14,63,1871,0.39,46,45,12,33,24,1852,1203,528,121,0.935,41,80,9,0.899,10,0
CSUP,2005,0.327,59,2004,445,656,131,15,48,405,961,0.48,192,35,362,22,0.392,21,30,87,111,0.784,5.55,31,25,3,0,3,480,564,376,296,200,326,107,10,39,1935,0.291,44,71,5,27,22,2202,1440,644,118,0.946,63,31,22,0.585,19,1
FHSU,2005,0.332,52,1649,385,547,121,16,51,339,853,0.517,200,48,276,35,0.414,21,10,83,110,0.755,4.93,30,9,2,1,8,396,482,291,217,159,241,81,5,57,1600,0.301,35,46,2,14,28,1818,1188,549,81,0.955,55,39,17,0.696,7,0
CMU,2005,0.361,62,2158,571,778,141,18,88,524,1219,0.565,202,65,315,18,0.427,22,55,62,79,0.785,5.23,46,15,5,1,12,506.1,546,337,294,189,390,85,5,65,1973,0.277,23,62,10,11,28,2196,1519,607,70,0.968,67,48,18,0.727,10,2
MSUD,2005,0.3,53,1648,329,495,85,21,28,290,706,0.428,162,55,317,19,0.377,25,42,79,98,0.806,5.62,28,13,2,1,4,416,504,321,260,169,264,82,5,47,1670,0.302,41,49,15,15,37,1886,1248,563,75,0.96,50,30,13,0.698,11,0
UNK,2005,0.308,53,1665,315,512,82,4,35,286,707,0.425,170,63,257,30,0.389,19,27,22,28,0.786,7.36,20,6,1,1,5,394,576,411,322,167,236,106,9,36,1723,0.334,29,51,8,25,27,1768,1182,468,118,0.933,39,103,10,0.912,18,2
NMHU,2005,0.359,56,1882,511,676,139,17,62,465,1035,0.55,216,90,217,23,0.443,29,19,75,97,0.773,6.4,38,13,1,1,12,443,599,374,315,159,288,126,10,53,1838,0.326,20,54,18,20,23,2000,1329,592,79,0.961,46,39,18,0.684,21,0
Regis,2005,0.309,51,1609,274,497,86,15,29,233,700,0.435,171,37,292,37,0.384,20,31,30,40,0.75,5.52,24,2,1,0,9,396,462,309,243,206,344,81,14,22,1568,0.295,66,48,5,27,28,1812,1188,533,91,0.95,37,79,21,0.79,10,1
CCU,2006,0.256,51,1533,171,392,66,4,9,156,493,0.322,123,30,309,18,0.321,10,10,32,44,0.727,11.58,6,8,0,0,0,375.1,712,587,483,250,138,150,28,54,1761,0.404,40,66,14,43,13,1722,1124,489,109,0.937,24,86,33,0.723,22,0
