,X.IncMSE
IP,13.10503433
PO,12.64330393
AVGagainst,12.28114544
SOfor,11.47764781
H,9.683438488
ERA,9.036108346
R,8.032220594
TB,8.010016405
AB,7.386293549
RBI,7.10955343
SV,6.450341241
SBA,6.399496805
SLGperc,6.338297469
SH,6.303036033
FLDperc,6.028969901
Obperc,5.90828747
C,5.793964839
AVG,5.40888569
G,5.349431271
SF,5.220465523
Rallowed,5.157154555
ER,4.961802371
DOUBLESAllowed,4.843705094
BK,4.829011781
DPs,4.782851339
TRIPLESAllowed,4.641483831
SFA,4.631049448
ATT,4.426551428
HR,4.400217297
E,4.301057702
BB,4.272263501
HBP,4.234632586
Hallowed,3.838775766
Abagainst,3.70971445
A,3.696004658
CG,3.666342717
SBAperc,3.571597803
DOUBLES,3.33221342
BBAllowed,3.269672297
CSB,3.262396236
SBB,3.128849167
CBO,2.817349586
WP,2.765222627
GDP,2.748833885
HBPpitching,2.570151316
SHO,2.363016179
SO,2.305652263
SBB.ATTperc,2.078780494
SHA,1.824917714
PB,1.760999161
HRAllowed,1.515758486
TRIPLES,0.913307941
CI,0.763871198
